Molecule_ID,Raw_SMILES,Canonical_SMILES,Is_Valid,MW,LogP,HBD,HBA,QED,SA_Score,Lipinski_Violations,Lipinski_Compliant
MOL_00011,Cc1cccc(C)c1NC(=O)c1ccc(NC(=O)[C@H]2CC(=O)N(CC(F)(F)F)C2)cc1,Cc1cccc(C)c1NC(=O)c1ccc(NC(=O)[C@H]2CC(=O)N(CC(F)(F)F)C2)cc1,True,433.16,3.91,2.0,3.0,0.7508,2.65,0.0,True
MOL_00012,CC(=O)N1CCc2cc(NC(=O)C(=O)NC[C@H](O)c3ccc(Cl)cc3)ccc21,CC(=O)N1CCc2cc(NC(=O)C(=O)NC[C@H](O)c3ccc(Cl)cc3)ccc21,True,401.11,2.04,3.0,4.0,0.6825,2.66,0.0,True
MOL_00013,C[NH+](C)CCNC(=O)CN1CCN(c2cccc(C#N)c2)CC1,C[NH+](C)CCNC(=O)CN1CCN(c2cccc(C#N)c2)CC1,True,316.21,-1.06,2.0,4.0,0.7023,2.93,0.0,True
MOL_00014,Cc1cc(C)c(C(=O)Nc2cccc(C)c2O)c(C)c1,Cc1cc(C)c(C(=O)Nc2cccc(C)c2O)c(C)c1,True,269.14,3.88,2.0,2.0,0.8128,1.94,0.0,True
MOL_00015,CC(C)CC(=O)N1CCN(C(=O)c2ccc(F)cc2F)CC1,CC(C)CC(=O)N1CCN(C(=O)c2ccc(F)cc2F)CC1,True,310.15,2.3,0.0,2.0,0.8593,1.93,0.0,True
MOL_00016,CC(=O)c1ccc(NC(=O)c2ccc(NC(=O)C(C)C)cc2)cc1C,CC(=O)c1ccc(NC(=O)c2ccc(NC(=O)C(C)C)cc2)cc1C,True,338.16,4.04,2.0,3.0,0.8078,1.8,0.0,True
MOL_00017,CCCCC[C@H](C)NC(=O)C1CC[NH+](Cc2ccc(OC)cc2)CC1,CCCCC[C@H](C)NC(=O)C1CC[NH+](Cc2ccc(OC)cc2)CC1,True,347.27,2.58,2.0,2.0,0.6744,3.58,0.0,True
MOL_00018,CCc1nn(C)cc1C(=O)Nc1nc2c(c(=O)n1-c1ccccc1)CCC2,CCc1nn(C)cc1C(=O)Nc1nc2c(c(=O)n1-c1ccccc1)CCC2,True,363.17,2.27,1.0,4.0,0.7709,2.65,0.0,True
MOL_00019,C[C@@H]1CN(C(=O)c2cccc(-c3ccncc3)c2)C[C@@H](C)O1,C[C@@H]1CN(C(=O)c2cccc(-c3ccncc3)c2)C[C@@H](C)O1,True,296.15,3.0,0.0,3.0,0.8553,2.72,0.0,True
MOL_00020,Cc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc2C)cc1,Cc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc2C)cc1,True,386.17,3.41,1.0,3.0,0.8563,1.87,0.0,True
MOL_00021,Cc1nc(NC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)ccc1I,Cc1nc(NC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)ccc1I,True,485.03,3.42,1.0,4.0,0.6738,2.18,0.0,True
MOL_00022,Cc1ccc(-c2nnc(SCC(=O)Nc3ccccc3F)n2N)cc1,Cc1ccc(-c2nnc(SCC(=O)Nc3ccccc3F)n2N)cc1,True,357.11,2.84,2.0,5.0,0.5416,1.97,0.0,True
MOL_00023,Cc1ccc(NC(=O)C(=O)NC[C@H]2CCC[NH+](Cc3ccccc3)C2)cc1C,Cc1ccc(NC(=O)C(=O)NC[C@H]2CCC[NH+](Cc3ccccc3)C2)cc1C,True,380.23,1.85,3.0,2.0,0.6936,3.74,0.0,True
MOL_00024,COc1cc(C)c(NC(=O)C(=O)NCc2cccc(OC)c2)cc1Cl,COc1cccc(CNC(=O)C(=O)Nc2cc(Cl)c(OC)cc2C)c1,True,362.1,2.92,2.0,4.0,0.8017,1.93,0.0,True
MOL_00025,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NCC(C)(C)C)cc2)cc1S(=O)(=O)N1CCOCC1,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NCC(C)(C)C)cc2)cc1S(=O)(=O)N1CCOCC1,True,509.17,2.59,2.0,6.0,0.5917,2.32,1.0,True
MOL_00026,Cc1ccc(-n2c(C)nc3cc(S(=O)(=O)N4CCCC4)ccc32)cc1,Cc1ccc(-n2c(C)nc3cc(S(=O)(=O)N4CCCC4)ccc32)cc1,True,355.14,3.43,0.0,3.0,0.7232,2.05,0.0,True
MOL_00027,CCCC(=O)N1CCC[C@@H](C(=O)N2CCC(C(=O)NC3CC3)CC2)C1,CCCC(=O)N1CCC[C@@H](C(=O)N2CCC(C(=O)NC3CC3)CC2)C1,True,349.24,1.54,1.0,3.0,0.8185,2.58,0.0,True
MOL_00028,CC(C)N(C[C@H]1CCCCC[NH2+]1)C(=O)C(=O)Nc1cccc(C#N)c1,CC(C)N(C[C@H]1CCCCC[NH2+]1)C(=O)C(=O)Nc1cccc(C#N)c1,True,343.21,1.24,2.0,3.0,0.8061,3.8,0.0,True
MOL_00029,O=C(CCC1CCN(C(=O)c2ccccc2)CC1)Nc1ccc(-c2ccccn2)cc1,O=C(CCC1CCN(C(=O)c2ccccc2)CC1)Nc1ccc(-c2ccccn2)cc1,True,413.21,5.02,1.0,3.0,0.6172,1.97,1.0,True
MOL_00030,Cc1nn(C)c(C)c1C(=O)Nc1cccc(NC(=O)c2ccccc2F)c1,Cc1nn(C)c(C)c1C(=O)Nc1cccc(NC(=O)c2ccccc2F)c1,True,366.15,3.68,2.0,3.0,0.7395,1.96,0.0,True
MOL_00031,COc1cccc(C(=O)NC[C@@H]2CCC[NH+]2Cc2ccccc2)c1O,COc1cccc(C(=O)NC[C@@H]2CCC[NH+]2Cc2ccccc2)c1O,True,341.19,1.38,3.0,3.0,0.7438,3.86,0.0,True
MOL_00032,CC(C)CNC(=O)C(=O)NCC1(c2ccc(F)cc2)CCCC1,CC(C)CNC(=O)C(=O)NCC1(c2ccc(F)cc2)CCCC1,True,320.19,2.53,2.0,2.0,0.8192,2.28,0.0,True
MOL_00033,CC(=O)N[C@@H]1CCC[NH+](CCC(=O)N(C)C2CCCCC2)C1,CC(=O)N[C@@H]1CCC[NH+](CCC(=O)N(C)C2CCCCC2)C1,True,310.25,0.35,2.0,2.0,0.7699,4.26,0.0,True
MOL_00034,Cc1cccc(C)c1OCC(=O)N1CCC(c2nc(-c3ccncc3)no2)CC1,Cc1cccc(C)c1OCC(=O)N1CCC(c2nc(-c3ccncc3)no2)CC1,True,392.18,3.53,0.0,6.0,0.6607,2.34,0.0,True
MOL_00035,Cc1ccc(OC(=O)c2cnn(CC(F)F)c2)cc1,Cc1ccc(OC(=O)c2cnn(CC(F)F)c2)cc1,True,266.09,2.68,0.0,3.0,0.6309,2.24,0.0,True
MOL_00036,COC(=O)CN(Cc1ccccc1C)C(=O)C1CC1,COC(=O)CN(Cc1ccccc1C)C(=O)C1CC1,True,261.14,1.91,0.0,3.0,0.7606,1.97,0.0,True
MOL_00037,C[C@H]1CCCC[C@@H]1N(C)C(=O)CN1C(=O)CSc2ccccc21,C[C@H]1CCCC[C@@H]1N(C)C(=O)CN1C(=O)CSc2ccccc21,True,332.16,3.16,0.0,3.0,0.8535,3.13,0.0,True
MOL_00038,CC(C)Cc1nnc(NC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)n1C1CC1,CC(C)Cc1nnc(NC(=O)c2ccc3c(c2)C(=O)N(C)C3=O)n1C1CC1,True,367.16,2.29,1.0,5.0,0.818,2.64,0.0,True
MOL_00039,Cc1cc(C)n(-c2ccc(C(=O)NCC(=O)NC3CC3)cc2)n1,Cc1cc(C)n(-c2ccc(C(=O)NCC(=O)NC3CC3)cc2)n1,True,312.16,1.5,2.0,3.0,0.8782,1.96,0.0,True
MOL_00040,COc1ccc([C@H]2CN(C(=O)c3cnc(C4CC4)o3)C[C@@H]2C(=O)OC)cc1,COC(=O)[C@H]1CN(C(=O)c2cnc(C3CC3)o2)C[C@@H]1c1ccc(OC)cc1,True,370.15,2.59,0.0,6.0,0.7527,3.32,0.0,True
MOL_00041,CCOCC[NH+]1CCN(CC(=O)NC(=O)Nc2ccc(C)c(C)c2)CC1,CCOCC[NH+]1CCN(CC(=O)NC(=O)Nc2ccc(C)c(C)c2)CC1,True,363.24,0.19,3.0,4.0,0.6048,3.28,0.0,True
MOL_00042,Cc1nc2nc(C)c(C)n2n1,,False,,,,,,,,False
MOL_00043,COc1ccccc1-n1c(C)cc(/C=C(\C#N)C(=O)Nc2ccc(C)c(C)c2)c1C,COc1ccccc1-n1c(C)cc(/C=C(\C#N)C(=O)Nc2ccc(C)c(C)c2)c1C,True,399.19,5.27,1.0,3.0,0.4697,2.28,1.0,True
MOL_00044,Cc1ccc(C)c(S(=O)(=O)Nc2ccc3c(c2)OCCO3)c1,Cc1ccc(C)c(S(=O)(=O)Nc2ccc3c(c2)OCCO3)c1,True,319.09,2.88,1.0,4.0,0.9446,1.97,0.0,True
MOL_00045,CCc1ccc(CNC(=O)N2CCC[C@@H](c3nnc(C)o3)C2)cc1,CCc1ccc(CNC(=O)N2CCC[C@@H](c3nnc(C)o3)C2)cc1,True,328.19,3.03,1.0,4.0,0.9362,2.69,0.0,True
MOL_00046,Cc1cc(Br)ccc1NC(=O)CCNC(=O)c1ccc(C)cc1,Cc1ccc(C(=O)NCCC(=O)Nc2ccc(Br)cc2C)cc1,True,374.06,3.82,2.0,2.0,0.8348,1.67,0.0,True
MOL_00047,C[C@H](NC(=O)NCc1ccc(OC(F)F)cc1)c1ccc(C(N)=O)cc1,C[C@H](NC(=O)NCc1ccc(OC(F)F)cc1)c1ccc(C(N)=O)cc1,True,363.14,2.95,3.0,3.0,0.706,2.42,0.0,True
MOL_00048,CC[C@H](C)NC(=O)c1ccc(S(=O)(=O)N(C)CCO)cc1,CC[C@H](C)NC(=O)c1ccc(S(=O)(=O)N(C)CCO)cc1,True,314.13,0.83,2.0,4.0,0.7802,2.39,0.0,True
MOL_00049,CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1cccc(OC)c1O,CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1cccc(OC)c1O,True,306.12,1.59,3.0,5.0,0.734,2.72,0.0,True
MOL_00050,COC(=O)c1ccc(/C=N/NC(=O)C2=Cc3ccccc3OC2)cc1,COC(=O)c1ccc(/C=N/NC(=O)C2=Cc3ccccc3OC2)cc1,True,336.11,2.4,1.0,5.0,0.5283,2.32,0.0,True
MOL_00051,CCN(CC)C(=O)C(=O)NC[C@@H](O)c1ccc(F)cc1,CCN(CC)C(=O)C(=O)NC[C@@H](O)c1ccc(F)cc1,True,282.14,0.84,2.0,3.0,0.7864,2.58,0.0,True
MOL_00052,COc1ccc(-c2noc(-c3ccc(NC(=O)C(C)C)cc3)n2)cc1OC,COc1ccc(-c2noc(-c3ccc(NC(=O)C(C)C)cc3)n2)cc1OC,True,367.15,4.02,1.0,6.0,0.7082,1.97,0.0,True
MOL_00053,Cc1nc(C)c(CNC(=O)N[C@H](C)c2ccc(C)c(C)c2)o1,Cc1nc(C)c(CNC(=O)N[C@H](C)c2ccc(C)c(C)c2)o1,True,301.18,3.47,2.0,3.0,0.9083,2.85,0.0,True
MOL_00054,C[C@@H](Sc1nc2ccccc2c(=O)n1Cc1ccco1)c1ccccc1,C[C@@H](Sc1nc2ccccc2c(=O)n1Cc1ccco1)c1ccccc1,True,362.11,4.89,0.0,4.0,0.3745,2.52,0.0,True
MOL_00055,CC(C)[C@@H](NC(=O)NCc1ccccc1)C(=O)Nc1ccc(N2CCOCC2)cc1,CC(C)[C@@H](NC(=O)NCc1ccccc1)C(=O)Nc1ccc(N2CCOCC2)cc1,True,410.23,2.99,3.0,4.0,0.6554,2.42,0.0,True
MOL_00056,Cc1ccc(C(=O)Nc2ccc3c(c2)COC3)c(O)c1,Cc1ccc(C(=O)Nc2ccc3c(c2)COC3)c(O)c1,True,269.11,2.98,2.0,3.0,0.8808,2.09,0.0,True
MOL_00057,COc1ccccc1[C@@H](CNC(=O)[C@H]1COc2ccccc2O1)[NH+]1CCCCC1,COc1ccccc1[C@@H](CNC(=O)[C@H]1COc2ccccc2O1)[NH+]1CCCCC1,True,397.21,1.76,2.0,4.0,0.78,3.98,0.0,True
MOL_00058,CCCNC(=O)[C@H]1CCCN(C(=O)NCc2ccc(C)o2)C1,CCCNC(=O)[C@H]1CCCN(C(=O)NCc2ccc(C)o2)C1,True,307.19,2.04,2.0,3.0,0.8739,2.58,0.0,True
MOL_00059,C[C@H]1CN(C(=O)c2ccc(C[NH+](C)CC(F)(F)F)cc2)C[C@H](C)O1,C[C@H]1CN(C(=O)c2ccc(C[NH+](C)CC(F)(F)F)cc2)C[C@H](C)O1,True,345.18,1.51,1.0,2.0,0.8977,4.09,0.0,True
MOL_00060,Cc1ccc(OCCC(=O)NCc2ccc(F)cc2)cc1,Cc1ccc(OCCC(=O)NCc2ccc(F)cc2)cc1,True,287.13,3.22,1.0,2.0,0.8856,1.57,0.0,True
MOL_00061,COc1cccc(C(=O)NC[C@@H](C)Oc2cccc(C)c2)c1,COc1cccc(C(=O)NC[C@@H](C)Oc2cccc(C)c2)c1,True,299.15,3.2,1.0,3.0,0.8908,2.22,0.0,True
MOL_00062,CC(C)C[C@H](CNC(=O)c1ccc(=O)n(C)n1)[NH+]1CCCCC1,CC(C)C[C@H](CNC(=O)c1ccc(=O)n(C)n1)[NH+]1CCCCC1,True,321.23,-0.01,2.0,3.0,0.7745,4.11,0.0,True
MOL_00063,O=C(Cc1cccs1)NCCCN1C(=O)/C(=C\c2ccc(OCc3ccccc3)cc2)SC1=S,O=C(Cc1cccs1)NCCCN1C(=O)/C(=C\c2ccc(OCc3ccccc3)cc2)SC1=S,True,508.09,5.28,1.0,6.0,0.2295,2.33,2.0,False
MOL_00064,CCCC1=C(C(=O)Nc2ccc(C)cc2)[C@@H](c2cccs2)NC(=S)N1,CCCC1=C(C(=O)Nc2ccc(C)cc2)[C@@H](c2cccs2)NC(=S)N1,True,371.11,4.27,3.0,3.0,0.6873,2.94,0.0,True
MOL_00065,CC(C)OC(=O)c1cc(CNC(=O)Nc2ccccc2Cl)on1,CC(C)OC(=O)c1cc(CNC(=O)Nc2ccccc2Cl)on1,True,337.08,3.21,2.0,5.0,0.8169,2.18,0.0,True
MOL_00066,C[C@@H]1CCC[C@@H](C)N1C(=O)[C@@H](C)O,C[C@@H]1CCC[C@@H](C)N1C(=O)[C@@H](C)O,True,185.14,1.16,1.0,2.0,0.6656,3.29,0.0,True
MOL_00067,Cc1ccc(C(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)cc1,Cc1ccc(C(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)cc1,True,336.18,2.83,0.0,2.0,0.8647,1.75,0.0,True
MOL_00068,CC[C@@H](C)[C@H](NC(=O)c1cc(C)oc1C)C(=O)[O-],CC[C@@H](C)[C@H](NC(=O)c1cc(C)oc1C)C(=O)[O-],True,252.12,0.79,1.0,4.0,0.8395,3.39,0.0,True
MOL_00069,CC(C)C[C@@H](NC(=O)N1CCN(c2nccs2)CC1)c1ccc(F)cn1,CC(C)C[C@@H](NC(=O)N1CCN(c2nccs2)CC1)c1ccc(F)cn1,True,377.17,3.3,1.0,5.0,0.8685,3.01,0.0,True
MOL_00070,CCN(CC)S(=O)(=O)c1cccc(C(=O)N(C)Cc2cccs2)c1,CCN(CC)S(=O)(=O)c1cccc(C(=O)N(C)Cc2cccs2)c1,True,366.11,3.05,0.0,4.0,0.7567,2.13,0.0,True
MOL_00071,CC[NH+]1CCC[C@H]1CNC(=O)N1CCC(OCc2ccc(Cl)cc2)CC1,CC[NH+]1CCC[C@H]1CNC(=O)N1CCC(OCc2ccc(Cl)cc2)CC1,True,380.21,2.1,2.0,2.0,0.7935,3.97,0.0,True
MOL_00072,Cc1cccc(OCCC(=O)Nc2cccc(C(=O)N(C)C)c2)c1,Cc1cccc(OCCC(=O)Nc2cccc(C(=O)N(C)C)c2)c1,True,326.16,3.1,1.0,3.0,0.8872,1.8,0.0,True
MOL_00073,Cc1ccc(-c2nc(CC(=O)N3CCN(c4ccccc4)CC3)cs2)cc1,Cc1ccc(-c2nc(CC(=O)N3CCN(c4ccccc4)CC3)cs2)cc1,True,377.16,4.01,0.0,4.0,0.6893,1.96,0.0,True
MOL_00074,Cc1cccc(N2CCN(C(=O)c3ccc(OCc4ccccc4)cc3)CC2)c1,Cc1cccc(N2CCN(C(=O)c3ccc(OCc4ccccc4)cc3)CC2)c1,True,386.2,4.54,0.0,3.0,0.6455,1.75,0.0,True
MOL_00075,COC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1F,COC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1F,True,307.04,3.52,1.0,3.0,0.8827,1.6,0.0,True
MOL_00076,CC[C@@H](NC(=O)c1ccc(C)c(F)c1)c1nc(C)cs1,CC[C@@H](NC(=O)c1ccc(C)c(F)c1)c1nc(C)cs1,True,292.1,3.78,1.0,3.0,0.9315,2.6,0.0,True
MOL_00077,Cc1ccc(NC(=O)C(=O)NC[C@@H](C)c2cccs2)c(C)c1,Cc1ccc(NC(=O)C(=O)NC[C@@H](C)c2cccs2)c(C)c1,True,316.12,3.22,2.0,3.0,0.8509,2.59,0.0,True
MOL_00078,Cc1ccc(NC(=O)c2ccc(Br)cc2[N+](=O)[O-])cc1C,Cc1ccc(NC(=O)c2ccc(Br)cc2[N+](=O)[O-])cc1C,True,348.01,4.23,1.0,3.0,0.6659,1.84,0.0,True
MOL_00079,CCOC(=O)[C@@H]1CN(C(=O)Nc2cccc(OC)c2)C[C@H]1OC,CCOC(=O)[C@@H]1CN(C(=O)Nc2cccc(OC)c2)C[C@H]1OC,True,322.15,1.74,1.0,5.0,0.8356,2.92,0.0,True
MOL_00080,Cc1nc2cc(C(=O)Nc3ccccc3C(=O)[O-])ccc2n1C1CCCC1,Cc1nc2cc(C(=O)Nc3ccccc3C(=O)[O-])ccc2n1C1CCCC1,True,362.15,3.08,1.0,4.0,0.7726,2.44,0.0,True
MOL_00081,Cc1nnc(N2CCO[C@@H](c3ncc(C)s3)C2)s1,Cc1cnc([C@H]2CN(c3nnc(C)s3)CCO2)s1,True,282.06,2.19,0.0,7.0,0.8448,3.37,0.0,True
MOL_00082,Cc1noc(C)c1CN(C)C(=O)c1ccc2c(c1)C(=O)N(C)C2=O,Cc1noc(C)c1CN(C)C(=O)c1ccc2c(c1)C(=O)N(C)C2=O,True,327.12,1.79,0.0,5.0,0.8026,2.33,0.0,True
MOL_00083,C[C@H]1CCc2sc(NC(=O)c3cc(S(=O)(=O)N4CCCC4)cc3)nc2C1,,False,,,,,,,,False
MOL_00084,COc1ccc([C@H]2CC(=O)Nc3c2c(C)nn3Cc2ccccc2)cc1,COc1ccc([C@H]2CC(=O)Nc3c2c(C)nn3Cc2ccccc2)cc1,True,347.16,3.72,1.0,3.0,0.7824,2.77,0.0,True
MOL_00085,CCN(Cc1ccc(Cl)cc1)C(=O)Nc1ccc2c(c1)nc(C)n2C,CCN(Cc1ccc(Cl)cc1)C(=O)Nc1ccc2c(c1)nc(C)n2C,True,356.14,4.59,1.0,2.0,0.7429,2.11,0.0,True
MOL_00086,CCCCOc1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,CCCCOc1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,True,314.13,4.03,1.0,4.0,0.4751,1.67,0.0,True
MOL_00087,CCc1ccc(NC(=O)C(=O)NCCC(C)(C)C)cc1,CCc1ccc(NC(=O)C(=O)NCCC(C)(C)C)cc1,True,276.18,2.74,2.0,2.0,0.8307,1.92,0.0,True
MOL_00088,Cc1cccc(C)c1NC(=O)[C@@H](C)S(=O)(=O)Cc1ccccc1,Cc1cccc(C)c1NC(=O)[C@@H](C)S(=O)(=O)Cc1ccccc1,True,331.12,3.25,1.0,3.0,0.9146,2.4,0.0,True
MOL_00089,COc1ccc([C@@H](NC(=O)Nc2cccc(OC)c2)C(C)C)cc1,COc1ccc([C@@H](NC(=O)Nc2cccc(OC)c2)C(C)C)cc1,True,328.18,4.22,2.0,3.0,0.8343,2.24,0.0,True
MOL_00090,CCNC(=O)NC(=O)C[NH+]1CCC(C(=O)NC2CCCC2)CC1,CCNC(=O)NC(=O)C[NH+]1CCC(C(=O)NC2CCCC2)CC1,True,325.22,-0.81,4.0,3.0,0.5325,3.44,0.0,True
MOL_00091,CCNC(=O)N1CC[C@@H](C(=O)NC[C@H](C)Cn2cc[nH+]c2C)C1,CCNC(=O)N1CC[C@@H](C(=O)NC[C@H](C)Cn2cc[nH+]c2C)C1,True,322.22,0.41,2.0,2.0,0.7955,4.04,0.0,True
MOL_00092,O=C(NCc1ccccc1)c1cc(-c2ccccc2)on1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)on1,True,278.11,3.27,1.0,3.0,0.7965,1.68,0.0,True
MOL_00093,COc1ccc(C(=O)N2CCC[C@@H](CC(=O)NCc3ccccn3)C2)cc1,COc1ccc(C(=O)N2CCC[C@@H](CC(=O)NCc3ccccn3)C2)cc1,True,367.19,2.65,1.0,4.0,0.852,2.44,0.0,True
MOL_00094,Cc1ccccc1[C@@H](C)NC(=O)NCc1ccc([N+](=O)[O-])cc1,Cc1ccccc1[C@@H](C)NC(=O)NCc1ccc([N+](=O)[O-])cc1,True,313.14,3.46,2.0,3.0,0.6546,2.3,0.0,True
MOL_00095,Cc1ccc(CNC(=O)C(=O)Nc2ccc(-c3ccc(F)cc3)cc2)o1,Cc1ccc(CNC(=O)C(=O)Nc2ccc(-c3ccc(F)cc3)cc2)o1,True,352.12,3.65,2.0,3.0,0.7043,1.94,0.0,True
MOL_00096,Cc1cc(O)c(/C=N/NC(=O)c2ccc(F)cc2)cc1NS(=O)(=O)c1ccccc1,Cc1cc(O)c(/C=N/NC(=O)c2ccc(F)cc2)cc1NS(=O)(=O)c1ccccc1,True,427.1,3.4,3.0,5.0,0.3183,2.23,0.0,True
MOL_00097,CCOC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=O)N[C@@H]1c1ccccc1,CCOC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=O)N[C@@H]1c1ccccc1,True,366.16,3.8,1.0,4.0,0.8175,2.51,0.0,True
MOL_00098,CC(C)[NH+](CC(=O)NCC(=O)NC(=O)NCC(C)C)C1CC1,CC(C)CNC(=O)NC(=O)CNC(=O)C[NH+](C(C)C)C1CC1,True,313.22,-0.96,4.0,3.0,0.4651,3.84,0.0,True
MOL_00099,CCN1C(N)=[NH+]C[C@@]12CCCC[C@H]2C,CCN1C(N)=[NH+]C[C@@]12CCCC[C@H]2C,True,196.18,-0.33,2.0,2.0,0.6028,5.19,0.0,True
MOL_00100,CCCCNC(=O)CN1CCN(c2nc(C)ns2)CC1,CCCCNC(=O)CN1CCN(c2nc(C)ns2)CC1,True,297.16,0.88,1.0,6.0,0.7901,2.28,0.0,True
MOL_00101,CC(C)CCNC(=O)[C@H]1CC(=O)N(Cc2ccc(Cl)cc2)C1,CC(C)CCNC(=O)[C@H]1CC(=O)N(Cc2ccc(Cl)cc2)C1,True,322.14,2.85,1.0,2.0,0.8752,2.4,0.0,True
MOL_00102,O=C(c1ccc(Cl)cc1)N1CCCN(C(=O)c2ccc(Cl)nc2)CC1,O=C(c1ccc(Cl)cc1)N1CCCN(C(=O)c2ccc(Cl)nc2)CC1,True,377.07,3.38,0.0,3.0,0.7533,1.92,0.0,True
MOL_00103,CC(=O)c1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,CC(=O)c1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,True,414.02,3.46,1.0,4.0,0.733,1.98,0.0,True
MOL_00104,CC1(C)CC(=O)N(c2ccc(Cl)cc2)C(=O)C1,CC1(C)CC(=O)N(c2ccc(Cl)cc2)C(=O)C1,True,251.07,3.02,0.0,2.0,0.7198,2.08,0.0,True
MOL_00105,CC[NH2+][C@H]1CC[C@@H]([NH+]2CCC(CC(=O)NC(C)(C)C)CC2)C1,CC[NH2+][C@H]1CC[C@@H]([NH+]2CCC(CC(=O)NC(C)(C)C)CC2)C1,True,311.29,0.09,3.0,1.0,0.6622,5.4,0.0,True
MOL_00106,Cc1ccc(C(=O)NCCC(=O)N2CCC[C@H](C(=O)NCc3ccccc3)C2)cc1,Cc1ccc(C(=O)NCCC(=O)N2CCC[C@H](C(=O)NCc3ccccc3)C2)cc1,True,407.22,2.67,2.0,3.0,0.7407,2.33,0.0,True
MOL_00107,CC(C)(C)NC(=O)Nc1ccc(F)cc1,CC(C)(C)NC(=O)Nc1ccc(F)cc1,True,210.12,2.75,2.0,1.0,0.7348,1.64,0.0,True
